incident_id,city,road_name,vehicle_type,accident_type,severity,weather_condition,road_condition,cause,driver_age,driver_gender,injury_count,damage_cost_php,latitude,longitude,datetime,hour,day_of_week,month_name,is_weekend,age_group
MMTI-2025-0001,Mandaluyong,Quezon Ave,Car,Rear-end,Minor,Rain,Unknown,Distracted Driving,55,Female,0,5500,14.518739,120.946532,2025-11-24 03:01:00,3 AM,Monday,November,False,41-60
MMTI-2025-0002,Parañaque,España Blvd,Truck,Rear-end,Unknown,Clear,Slippery,Overspeeding,66,Female,0,56000,14.56805,120.931096,2025-11-05 00:35:00,12 AM,Wednesday,November,False,Senior
MMTI-2025-0003,Navotas,C5,Bus,Side-swipe,Unknown,Storm,Dry,Unknown,52,Male,3,12000,14.610408,121.065881,2025-06-22 03:05:00,3 AM,Sunday,June,True,41-60
MMTI-2025-0004,Parañaque,C5,Motorcycle,Rear-end,Fatal,Clear,Wet,Distracted Driving,42,Male,3,83000,14.666822,120.932531,2025-11-13 11:36:00,11 AM,Thursday,November,False,41-60
MMTI-2025-0005,Mandaluyong,C5,Jeepney,Rear-end,Unknown,Rain,Wet,Drunk Driving,47,Female,2,83500,14.637632,120.943923,2025-07-01 06:42:00,6 AM,Tuesday,July,False,41-60
MMTI-2025-0006,Quezon City,Ortigas Ave,Truck,Side-swipe,Minor,Rain,Unknown,Traffic Violation,31,Female,3,84000,14.59177,120.952976,2025-06-16 01:14:00,1 AM,Monday,June,False,26-40
MMTI-2025-0007,Quezon City,Roxas Blvd,UV Express,Pedestrian,Unknown,Clear,Unknown,Traffic Violation,32,Female,4,65000,14.518182,120.909423,2025-05-07 23:35:00,11 PM,Wednesday,May,False,26-40
MMTI-2025-0008,Pasay,Taft Ave,Jeepney,Collision,Unknown,Cloudy,Unknown,Unknown,51,Male,4,3000,14.636057,120.92291,2025-02-26 04:40:00,4 AM,Wednesday,February,False,41-60
MMTI-2025-0009,Marikina,C5,Bus,Hit and Run,Major,Cloudy,Dry,Reckless Driving,50,Female,4,15500,14.674104,120.959689,2025-10-02 08:49:00,8 AM,Thursday,October,False,41-60
MMTI-2025-0010,Parañaque,Commonwealth Ave,Bus,Rear-end,Unknown,Clear,Dry,Traffic Violation,49,Male,0,48000,14.675744,121.066333,2025-11-24 16:38:00,4 PM,Monday,November,False,41-60
MMTI-2025-0011,Caloocan,Katipunan Ave,Motorcycle,Collision,Unknown,Clear,Unknown,Drunk Driving,26,Female,4,23000,14.553011,121.074487,2025-06-07 07:03:00,7 AM,Saturday,June,True,26-40
MMTI-2025-0012,Quezon City,Quezon Ave,UV Express,Side-swipe,Unknown,Rain,Slippery,Unknown,51,Female,0,33500,14.544939,120.967617,2025-08-05 06:59:00,6 AM,Tuesday,August,False,41-60
MMTI-2025-0013,Makati,Quezon Ave,Motorcycle,Collision,Minor,Rain,Dry,Overspeeding,39,Male,4,32000,14.555695,120.997083,2025-10-29 17:14:00,5 PM,Wednesday,October,False,26-40
MMTI-2025-0014,Makati,Katipunan Ave,Truck,Rear-end,Unknown,Cloudy,Wet,Distracted Driving,24,Female,2,56000,14.58222,121.072767,2025-10-04 04:46:00,4 AM,Saturday,October,True,18-25
MMTI-2025-0015,Taguig,EDSA,Truck,Side-swipe,Minor,Rain,Wet,Mechanical Failure,52,Female,1,56000,14.536698,120.992526,2025-01-28 21:41:00,9 PM,Tuesday,January,False,41-60
MMTI-2025-0016,Quezon City,C5,Motorcycle,Pedestrian,Minor,Clear,Wet,Drunk Driving,44,Female,3,29000,14.67293,121.080489,2025-02-08 14:51:00,2 PM,Saturday,February,True,41-60
MMTI-2025-0017,Navotas,Roxas Blvd,Taxi,Hit and Run,Fatal,Cloudy,Unknown,Unknown,27,Female,2,29500,14.693742,121.015836,2025-03-26 12:00:00,12 PM,Wednesday,March,False,26-40
MMTI-2025-0018,Marikina,EDSA,Motorcycle,Pedestrian,Unknown,Clear,Unknown,Drunk Driving,21,Male,1,10500,14.619007,121.035043,2025-10-05 01:47:00,1 AM,Sunday,October,True,18-25
