incident_id,city,road_name,vehicle_type,accident_type,severity,weather_condition,road_condition,cause,driver_age,driver_gender,injury_count,damage_cost_php,latitude,longitude,datetime
MMTI-2025-0001,Mandaluyong,Quezon Ave,Car,Rear-end,Minor,Rain,Unknown,Distracted Driving,55,Female,0.0,5500.0,14.518739047972318,120.94653217867815,2025-11-24 03:01:00
MMTI-2025-0002,Parañaque,España Blvd,Truck,Rear-end,Unknown,Clear,Slippery,Overspeeding,66,Female,0.0,56000.0,14.568050103303598,120.93109589996236,2025-11-05 00:35:00
MMTI-2025-0003,Navotas,C5,Bus,Side-swipe,Unknown,Storm,Dry,Unknown,52,Male,3.0,12000.0,14.610408126254644,121.0658809328506,2025-06-22 03:05:00
MMTI-2025-0004,Parañaque,C5,Motorcycle,Rear-end,Fatal,Clear,Wet,Distracted Driving,42,Male,3.0,83000.0,14.66682208532815,120.93253081943122,2025-11-13 11:36:00
MMTI-2025-0005,Mandaluyong,C5,Jeepney,Rear-end,Unknown,Rain,Wet,Drunk Driving,47,Female,2.0,83500.0,14.637632391686662,120.94392303479404,2025-07-01 06:42:00
MMTI-2025-0006,Quezon City,Ortigas Ave,Truck,Side-swipe,Minor,Rain,Unknown,Traffic Violation,31,Female,3.0,84000.0,14.59177037051748,120.95297603329962,2025-06-16 01:14:00
MMTI-2025-0007,Quezon City,Roxas Blvd,UV Express,Pedestrian,Unknown,Clear,Unknown,Traffic Violation,32,Female,4.0,65000.0,14.518181882434758,120.90942327508496,2025-05-07 23:35:00
MMTI-2025-0008,Pasay,Taft Ave,Jeepney,Collision,Unknown,Cloudy,Unknown,Unknown,51,Male,4.0,3000.0,14.636056682051304,120.92291034859674,2025-02-26 04:40:00
MMTI-2025-0009,Marikina,C5,Bus,Hit and Run,Major,Cloudy,Dry,Reckless Driving,50,Female,4.0,15500.0,14.674103713967352,120.95968895828972,2025-10-02 08:49:00
MMTI-2025-0010,Parañaque,Commonwealth Ave,Bus,Rear-end,Unknown,Clear,Dry,Traffic Violation,49,Male,0.0,48000.0,14.675744375564635,121.06633310587225,2025-11-24 16:38:00
MMTI-2025-0011,Caloocan,Katipunan Ave,Motorcycle,Collision,Unknown,Clear,Unknown,Drunk Driving,26,Female,4.0,23000.0,14.553011325788011,121.07448660821706,2025-06-07 07:03:00
MMTI-2025-0012,Quezon City,Quezon Ave,UV Express,Side-swipe,Unknown,Rain,Slippery,Unknown,51,Female,0.0,33500.0,14.544939467406312,120.9676171124295,2025-08-05 06:59:00
MMTI-2025-0013,Makati,Quezon Ave,Motorcycle,Collision,Minor,Rain,Dry,Overspeeding,39,Male,4.0,32000.0,14.555695452792907,120.9970828998301,2025-10-29 17:14:00
MMTI-2025-0014,Makati,Katipunan Ave,Truck,Rear-end,Unknown,Cloudy,Wet,Distracted Driving,24,Female,2.0,56000.0,14.582220455209947,121.07276734967392,2025-10-04 04:46:00
MMTI-2025-0015,Taguig,EDSA,Truck,Side-swipe,Minor,Rain,Wet,Mechanical Failure,52,Female,1.0,56000.0,14.536697607157446,120.9925256136802,2025-01-28 21:41:00
MMTI-2025-0016,Quezon City,C5,Motorcycle,Pedestrian,Minor,Clear,Wet,Drunk Driving,44,Female,3.0,29000.0,14.672930078806043,121.08048857310212,2025-02-08 14:51:00
MMTI-2025-0017,Navotas,Roxas Blvd,Taxi,Hit and Run,Fatal,Cloudy,Unknown,Unknown,27,Female,2.0,29500.0,14.693741872993831,121.01583605816326,2025-03-26 12:00:00
MMTI-2025-0018,Marikina,EDSA,Motorcycle,Pedestrian,Unknown,Clear,Unknown,Drunk Driving,21,Male,1.0,10500.0,14.619007021290006,121.03504251072084,2025-10-05 01:47:00
MMTI-2025-0019,Makati,Quezon Ave,Jeepney,Pedestrian,Minor,Clear,Dry,Unknown,60,Male,2.0,28000.0,14.633945194953968,120.96283677255911,2025-05-01 12:07:00
MMTI-2025-0020,San Juan,Aurora Blvd,Bus,Collision,Minor,Cloudy,Unknown,Distracted Driving,22,Female,4.0,35500.0,14.526491314073294,120.96980176699292,2025-05-16 12:08:00
MMTI-2025-0021,San Juan,Commonwealth Ave,Truck,Pedestrian,Fatal,Clear,Unknown,Overspeeding,60,Male,0.0,15000.0,14.68778600078542,120.92685822287868,2025-02-05 07:23:00
MMTI-2025-0022,Quezon City,Commonwealth Ave,Bus,Side-swipe,Unknown,Rain,Slippery,Mechanical Failure,61,Male,4.0,64500.0,14.55022425041398,121.08163180924372,2025-03-01 03:47:00
MMTI-2025-0023,Malabon,Roxas Blvd,Motorcycle,Collision,Fatal,Rain,Slippery,Drunk Driving,65,Female,4.0,92000.0,14.585537383796137,120.90193393992168,2025-01-27 02:40:00
MMTI-2025-0024,Pasig,España Blvd,Motorcycle,Side-swipe,Unknown,Clear,Wet,Unknown,26,Male,2.0,48500.0,14.67979629774852,121.05922446097762,2025-02-08 22:57:00
MMTI-2025-0025,Caloocan,C5,Bus,Pedestrian,Unknown,Clear,Wet,Mechanical Failure,28,Female,3.0,5000.0,14.53587213268364,121.08489745904832,2025-01-21 11:13:00
MMTI-2025-0026,Caloocan,Roxas Blvd,Car,Collision,Unknown,Clear,Unknown,Mechanical Failure,30,Female,2.0,41000.0,14.664107276194311,121.0742646071726,2025-07-30 21:55:00
MMTI-2025-0027,Parañaque,Taft Ave,Bus,Side-swipe,Minor,Storm,Slippery,Unknown,61,Male,0.0,16500.0,14.675407682315113,120.95224303927804,2025-04-25 00:42:00
MMTI-2025-0028,Taguig,Katipunan Ave,Truck,Side-swipe,Fatal,Cloudy,Unknown,Distracted Driving,42,Female,2.0,7500.0,14.641757056766837,120.90033825564372,2025-10-25 08:02:00
MMTI-2025-0029,Parañaque,Ortigas Ave,Truck,Collision,Fatal,Clear,Slippery,Distracted Driving,64,Male,4.0,41500.0,14.633378580821146,120.96523658097148,2025-10-03 21:46:00
MMTI-2025-0030,Pasig,Quezon Ave,Truck,Hit and Run,Major,Clear,Unknown,Reckless Driving,43,Male,2.0,38500.0,14.542036536976529,121.05715176549552,2025-12-23 09:35:00
MMTI-2025-0031,Valenzuela,Aurora Blvd,Truck,Rear-end,Unknown,Cloudy,Wet,Distracted Driving,36,Male,0.0,98000.0,14.546973719705337,120.96208389285898,2025-11-07 20:20:00
MMTI-2025-0032,Quezon City,Quezon Ave,Truck,Pedestrian,Minor,Cloudy,Unknown,Mechanical Failure,63,Female,3.0,53000.0,14.548796887915689,121.03121160222236,2025-04-12 04:01:00
MMTI-2025-0033,Malabon,Quezon Ave,Car,Pedestrian,Unknown,Clear,Unknown,Mechanical Failure,25,Female,1.0,61000.0,14.633515546517271,121.0975784906133,2025-01-03 03:49:00
