Incident_ID,Date,Time,City,Road_Name,Vehicle_Type,Accident_Type,Severity,Weather_Condition,Road_Condition,Cause,Driver_Age,Driver_Gender,Injury_Count,Damage_Cost_PHP,Latitude,Longitude
MMTI-2025-0001,2025-11-24,03:01:00,Mandaluyong,Quezon Ave,Car,Rear-end,Minor,RAIN,,Distracted Driving,55.0,FEMALE,0.0,5500.0,14.518739047972318,120.94653217867815
MMTI-2025-0002,2025-11-05,00:35:00,Parañaque,España Blvd,Truck,Rear-end,, clear,Slippery,Overspeeding,66.0,Female,,56000.0,14.568050103303598,120.93109589996236
MMTI-2025-0003,2025-06-22,03:05:00,Navotas,C5,Bus,Side-swipe,,Storm,Dry,,52.0,Male,3.0,12000.0,14.610408126254645,121.0658809328506
MMTI-2025-0004,2025-11-13,11:36:00,Parañaque,C5,Motorcycle,Rear-end,Fatal,Clear,Wet,Distracted Driving,42.0,male,3.0,83000.0,14.66682208532815,120.93253081943122
MMTI-2025-0005,2025-07-01,06:42:00,Mandaluyong,C5,Jeepney,Rear-end,,RAIN,Wet,Drunk Driving,47.0,FEMALE,2.0,83500.0,14.637632391686662,120.94392303479405
MMTI-2025-0006,2025-06-16,01:14:00,Quezon City,Ortigas Ave,Truck,Side-swipe,Minor,Rain,,Traffic Violation,31.0,FEMALE,3.0,84000.0,14.59177037051748,120.95297603329962
MMTI-2025-0007,2025-05-07,23:35:00,QUEZON CITY,Roxas Blvd,UV Express,Pedestrian,, clear,,Traffic Violation,32.0,Female,4.0,65000.0,14.518181882434758,120.90942327508495
MMTI-2025-0008,2025-02-26,04:40:00,Pasay,Taft Ave,Jeepney,Collision,,Cloudy,,,51.0,male,4.0,3000.0,14.636056682051304,120.92291034859674
MMTI-2025-0009,2025-10-02,08:49:00,Marikina,C5,Bus,Hit and Run,Major,Cloudy,Dry,Reckless Driving,50.0,Female,4.0,15500.0,14.674103713967353,120.95968895828973
MMTI-2025-0010,2025-11-24,16:38:00,Parañaque,Commonwealth Ave,Bus,Rear-end,, clear,Dry,Traffic Violation,49.0,Male,0.0,48000.0,14.675744375564637,121.06633310587225
MMTI-2025-0011,2025-06-07,07:03:00,Caloocan,Katipunan Ave,Motorcycle,Collision,,Clear,,Drunk Driving,26.0,FEMALE,4.0,23000.0,14.553011325788011,121.07448660821706
MMTI-2025-0012,2025-08-05,06:59:00,QUEZON CITY,Quezon Ave,UV Express,Side-swipe,,RAIN,Slippery,,51.0,FEMALE,0.0,33500.0,14.544939467406312,120.9676171124295
MMTI-2025-0013,2025-10-29,17:14:00,Makati ,Quezon Ave,Motorcycle,Collision,Minor,Rain,Dry,Overspeeding,39.0,Male,4.0,32000.0,14.555695452792909,120.9970828998301
MMTI-2025-0014,2025-10-04,04:46:00,Makati ,Katipunan Ave,Truck,Rear-end,,Cloudy,Wet,Distracted Driving,24.0,FEMALE,2.0,56000.0,14.582220455209947,121.07276734967392
MMTI-2025-0015,2025-01-28,21:41:00,Taguig,EDSA,Truck,Side-swipe,Minor,Rain,Wet,Mechanical Failure,52.0,FEMALE,1.0,56000.0,14.536697607157446,120.9925256136802
MMTI-2025-0016,2025-02-08,14:51:00,QUEZON CITY,C5,Motorcycle,Pedestrian,Minor,Clear,Wet,Drunk Driving,44.0,FEMALE,3.0,29000.0,14.672930078806043,121.08048857310212
MMTI-2025-0017,2025-03-26,12:00:00,Navotas,Roxas Blvd,Taxi,Hit and Run,Fatal,Cloudy,,,27.0,Female,2.0,29500.0,14.693741872993831,121.01583605816326
MMTI-2025-0018,2025-10-05,01:47:00,Marikina,EDSA,Motorcycle,Pedestrian,, clear,,Drunk Driving,21.0,Male,1.0,10500.0,14.619007021290006,121.03504251072083
MMTI-2025-0019,2025-05-01,12:07:00,Makati ,Quezon Ave,Jeepney,Pedestrian,Minor, clear,Dry,,60.0,male,2.0,28000.0,14.633945194953967,120.96283677255911
MMTI-2025-0020,2025-05-16,12:08:00,San Juan,Aurora Blvd,Bus,Collision,Minor,Cloudy,,Distracted Driving,22.0,Female,4.0,35500.0,14.526491314073294,120.96980176699292
